Ano Emissão;Entrada/Saída;Município Destinatário;CNAE (C);Descrição do CNAE;CNAE (Divisão);CNAE (Grupo);CNAE (Classe);NCM Produto;NCM (Capítulo);NCM (Posição);NCM (Subposição);CFOP;Descrição CFOP;CFOP (1);CFOP (2);Total Bruto Produtos;NCM (Capítulo) Desc;NCM (Posição) Desc
2018;0 - entrada;ABAETETUBA;1033301;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1091102;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1092900;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1095300;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1095300;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1095300;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1095300;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1099604;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1099699;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1122401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1412602;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1422300;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1422300;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1622699;;;;;;;;;;;;;;;
